ida,aire_geo,signe_fr,signe_ue,produit,reference
1645,-------,,IGP -,Pâté de Campagne Breton,
1645,-------,,IGP -,Porc du Sud-Ouest,IG/14/01
1645,-------,,IGP -,Sel de Guérande ou Fleur de sel de Guérande,
1645,-------,,STG -,Moules de bouchot,
1645,-------,LR - ,,Abricot,LA/04/01
1645,-------,LR - ,,Agneau de 13 à 22 kg carcasse ,LA/07/07
1645,-------,LR - ,,Agneau de 14 à 22 kg carcasse,LA/05/07
1645,-------,LR - ,,Agneau de plus de 13 kg carcasse,LA/05/85
1645,-------,LR - ,,Agneau de plus de 13 kg carcasse ,LA/09/95
1645,-------,LR - ,,Agneau de plus de 14 kg carcasse,LA/17/93
1645,-------,LR - ,,Agneau de plus de 14 kg carcasse,LA/31/90
1645,-------,LR - ,,Agneau de plus de 14 kg carcasse,LA/01/12
1645,-------,LR - ,,Agneau de plus de 15 kg de carcasse,LA/02/95
1645,-------,LR - ,,Agneau de plus de 15 kilos carcasse,LA/03/94
1645,-------,LR - ,,Agneau nourri essentiellement au lait maternel,LA/07/02
1645,-------,LR - ,,Agneau nourri essentiellement au lait maternel,LA/16/99
1645,-------,LR - ,,Agneau nourri exclusivement au lait maternel ,LA/11/08
1645,-------,LR - ,,Agneau nourri exclusivement au lait maternel,LA/19/92
1645,-------,LR - ,,Ail rose,LA/02/66
1645,-------,LR - ,,Ananas,LA/13/06
1645,-------,LR - ,,Baguette de pain de tradition française,LA/22/01
1645,-------,LR - ,,Bar,LA/04/99
1645,-------,LR - ,,Bar d'aquaculture marine ,LA/01/11
1645,-------,LR - ,,Betteraves rouges,LA/03/03
1645,-------,LR - ,,Betteraves rouges cuites sous vide,LA/21/99
1645,-------,LR - ,,Betteraves rouges cuites sous vide,LA/05/97
1645,-------,LR - ,,Betteraves rouges cuites sous vide,LA/08/98
1645,-------,LR - ,,Beurre de baratte doux et demi-sel,LA/12/94
1645,-------,LR - ,,Blanc de poulet cuit,LA/03/07
1645,-------,LR - ,,Brie au lait thermisé, crème et protéines de lait pasteurisées,LA/28/99
1645,-------,LR - ,,Brioche,LA/02/02
1645,-------,LR - ,,Bulbes à fleurs de dahlias,LA/07/10
1645,-------,LR - ,,Bœuf Charolais,LA/02/74
1645,-------,LR - ,,Bœuf fermier,LA/16/93
1645,-------,LR - ,,Bœuf fermier,LA/03/86
1645,-------,LR - ,,Cabécou,LA/25/05
1645,-------,LR - ,,Caille fermière,LA/20/90
1645,-------,LR - ,,Caille jaune fermière,LA/13/78
1645,-------,LR - ,,Canard de barbarie fermier élevé en plein air,LA/04/74
1645,-------,LR - ,,Canard fermier,LA/02/85
1645,-------,LR - ,,Canard mulard gavé entier, foie gras cru et produits de découpes crus frais et magrets surgelés,LA/12/89
1645,-------,LR - ,,Canette et canard de Barbarie,LA/09/04
1645,-------,LR - ,,Carottes et carottes des sables,LA/04/67
1645,-------,LR - ,,Carré-fromage au lait entier,LA/20/93
1645,-------,LR - ,,Cassoulet appertisé,LA/02/12
1645,-------,LR - ,,Chapon à pattes bleues fermier, élevé en plein air entier et découpe frais ou surgelé,LA/06/04
1645,-------,LR - ,,Chapon blanc entier et en découpes,LA/11/06
1645,-------,LR - ,,Chapon blanc fermier,LA/16/00
1645,-------,LR - ,,Chapon blanc fermier,LA/29/89
1645,-------,LR - ,,Chapon blanc fermier,LA/04/06
1645,-------,LR - ,,Chapon blanc fermier élevé en plein air,LA/16/88
1645,-------,LR - ,,Chapon blanc fermier élevé en plein air,LA/18/92
1645,-------,LR - ,,Chapon blanc fermier élevé en plein air entier et découpes, frais ou surgelé,LA/02/01
1645,-------,LR - ,,Chapon blanc fermier élevé en plein air entier et découpes, frais ou surgelé,LA/55/88
1645,-------,LR - ,,Chapon blanc fermier entier et découpe, frais et surgelé,LA/29/88
1645,-------,LR - ,,Chapon blanc fermier entier et découpes, frais et surgelé,LA/26/99
1645,-------,LR - ,,Chapon blanc fermier et découpe,LA/13/98
1645,-------,LR - ,,Chapon blanc fermier frais, surgelé, entier et découpe,LA/32/88
1645,-------,LR - ,,Chapon blanc fermier, entier et découpe, frais et surgelé,LA/13/00
1645,-------,LR - ,,Chapon blanc fermier, entier et découpe, frais et surgelé ,LA/38/89
1645,-------,LR - ,,Chapon blanc fermier, entier et découpe, frais et surgelé ,LA/06/98
1645,-------,LR - ,,Chapon cou nu jaune entier et en découpes,LA/12/06
1645,-------,LR - ,,Chapon de pintade,LA/02/97
1645,-------,LR - ,,Chapon de pintade fermier,LA/19/94
1645,-------,LR - ,,Chapon de pintade fermier,LA/16/94
1645,-------,LR - ,,Chapon de pintade fermier élevé en plein air,LA/04/07
1645,-------,LR - ,,Chapon de pintade fermier élevé en plein air,LA/14/94
1645,-------,LR - ,,Chapon de pintade fermier entier et découpe frais et surgelé,LA/08/95
1645,-------,LR - ,,Chapon de pintade fermier frais, surgelé, entier et découpe,LA/01/14
1645,-------,LR - ,,Chapon de pintade fermier, entier et découpe, frais et surgelé,LA/15/94
1645,-------,LR - ,,Chapon de pintade fermier, entier et découpes, frais et surgelé,LA/05/13
1645,-------,LR - ,,Chapon de pintade jaune fermier élevé en plein air,LA/17/94
1645,-------,LR - ,,Chapon fermier,LA/14/88
1645,-------,LR - ,,Chapon fermier cou nu jaune entier,LA/48/88
1645,-------,LR - ,,Chapon fermier élevé en plein air,LA/14/98
1645,-------,LR - ,,Chapon fermier entier et découpe frais,LA/28/88
1645,-------,LR - ,,Chapon fermier entier et découpe surgelé,LA/14/91
1645,-------,LR - ,,Chapon fermier entier et découpes,LA/17/97
1645,-------,LR - ,,Chapon fermier, élevé en plein air entier et découpe frais ou surgelé,LA/30/88
1645,-------,LR - ,,Chapon jaune fermier,LA/05/06
1645,-------,LR - ,,Chapon jaune fermier,LA/03/97
1645,-------,LR - ,,Chapon jaune fermier élevé en plein air,LA/14/89
1645,-------,LR - ,,Chapon jaune fermier élevé en plein air,LA/12/02
1645,-------,LR - ,,Chapon jaune fermier élevé en plein air,LA/31/88
1645,-------,LR - ,,Chapon jaune fermier élevé en plein air,LA/21/94
1645,-------,LR - ,,Chapon jaune fermier entier et découpe, frais et surgelé,LA/18/02
1645,-------,LR - ,,Chapon jaune fermier entier et découpes, frais et surgelé,LA/17/00
1645,-------,LR - ,,Chapon jaune fermier frais, surgelé, entier et découpe,LA/19/00
1645,-------,LR - ,,Chapon jaune fermier, entier et découpe, frais et surgelé,LA/28/89
1645,-------,LR - ,,Chapon noir fermier,LA/17/88
1645,-------,LR - ,,Chapon noir fermier entier et découpes,LA/18/06
1645,-------,LR - ,,Chapon noir fermier et découpe,LA/54/88
1645,-------,LR - ,,Chapon noir fermier, entier et découpe, frais et surgelé,LA/23/90
1645,-------,LR - ,,Choucroute,LA/01/09
1645,-------,LR - ,,Cidre de tradition,LA/21/97
1645,-------,LR - ,,Cidre de variété Guillevic,LA/15/99
1645,-------,LR - ,,Conserves de maquereaux,LA/26/06
1645,-------,LR - ,,Conserves de sardines pêchées à la bolinche,LA/01/03
1645,-------,LR - ,,Conserves de saumon,LA/03/09
1645,-------,LR - ,,Conserves de thon,LA/27/06
1645,-------,LR - ,,Conserves de thon Germon,LA/02/09
1645,-------,LR - ,,Coppa,LA/08/09
1645,-------,LR - ,,Coquille Saint-Jacques entière et fraîche,LA/11/02
1645,-------,LR - ,,Crème fluide,LA/10/89
1645,-------,LR - ,,Crevette d'élevage Penaeus monodon présentée entière crue surgelée ou entière crue surgelée ,LA/05/03
1645,-------,LR - ,,Crevettes de pêche,LA/01/05
1645,-------,LR - ,,Daurade d’aquaculture marine,LA/02/11
1645,-------,LR - ,,Découpes et morceaux de poulet fermier aromatisés/condimentés/marinés,LA/32/99
1645,-------,LR - ,,Dinde,LA/14/77
1645,-------,LR - ,,Dinde de découpe fermière élevée en plein air,LA/02/98
1645,-------,LR - ,,Dinde de Noël fermière élevée en plein air,LA/03/72
1645,-------,LR - ,,Dinde entière,LA/19/87
1645,-------,LR - ,,Dinde fermière,LA/06/71
1645,-------,LR - ,,Dinde fermière,LA/05/79
1645,-------,LR - ,,Dinde fermière à rôtir,LA/10/80
1645,-------,LR - ,,Dinde fermière à rôtir fraîche et surgelée,LA/11/86
1645,-------,LR - ,,Dinde fermière de Noël élevée en plein air,LA/04/88
1645,-------,LR - ,,Dinde fermière de Noël, entière, fraîche et surgelée,LA/06/86
1645,-------,LR - ,,Dinde fermière de Noël, entière, fraîche et surgelée,LA/13/95
1645,-------,LR - ,,Dinde fermière élevée en plein air,LA/15/93
1645,-------,LR - ,,Dinde fermière élevée en plein air à rôtir,LA/26/88
1645,-------,LR - ,,Dinde fermière élevée en plein air à rôtir,LA/08/82
1645,-------,LR - ,,Dinde fermière entière, fraîche et surgelée,LA/08/84
1645,-------,LR - ,,Dinde fermière fraîche,LA/15/92
1645,-------,LR - ,,Dinde fermière, élevée en plein air fraîche ou surgelée,LA/05/78
1645,-------,LR - ,,Dinde noire fermière à chair blanche,LA/04/86
1645,-------,LR - ,,Dinde noire fermière à chair jaune,LA/04/97
1645,-------,LR - ,,Dinde noire fermière élevée en plein air,LA/16/91
1645,-------,LR - ,,Dinde noire fermière entière,LA/06/87
1645,-------,LR - ,,Emmental,LA/04/79
1645,-------,LR - ,,Escargots préparés frais et surgelé,LA/04/83
1645,-------,LR - ,,Farine de froment,LA/09/05
1645,-------,LR - ,,Farine panifiable pour pain courant,LA/20/06
1645,-------,LR - ,,Farine pour pain de tradition française,LA/11/04
1645,-------,LR - ,,Farine type 45 label rouge pour pâtisserie,LA/25/06
1645,-------,LR - ,,Filets de hareng fumé doux,LA/04/11
1645,-------,LR - ,,Filets de maquereaux marinés au Muscadet AOC et aux aromates,LA/01/10
1645,-------,LR - ,,Flageolet vert,LA/19/06
1645,-------,LR - ,,Foie gras cru et produits de découpe d'oie gavée,LA/17/89
1645,-------,LR - ,,Foie gras cru et produits de découpe de canard mulard gavé,LA/16/89
1645,-------,LR - ,,Fraise,LA/16/08
1645,-------,LR - ,,Fromage à raclette,LA/04/03
1645,-------,LR - ,,Gazon de haute qualité,LA/05/87
1645,-------,LR - ,,Haricot,LA/19/97
1645,-------,LR - ,,Haricots blancs,LA/27/05
1645,-------,LR - ,,Herbes de Provence,LA/02/03
1645,-------,LR - ,,Huîtres fines de claires vertes,LA/25/89
1645,-------,LR - ,,Huîtres pousse en claire,LA/22/98
1645,-------,LR - ,,Jambon cru de pays,LA/09/91
1645,-------,LR - ,,Jambon cuit supérieur de porc fermier, entier et pré-tranché,LA/45/88
1645,-------,LR - ,,Jambon cuit supérieur entier et pré-tranché,LA/21/88
1645,-------,LR - ,,Jambon persillé,LA/32/06
1645,-------,LR - ,,Jambon sec supérieur,LA/04/08
1645,-------,LR - ,,Jambon sec supérieur,LA/03/73
